n,m,time_s,max_frontier
500,1000,0.0001309648003370967,553
1000,2000,0.00024822700070217254,1104
2000,4000,0.0005433731996163261,2255
5000,10000,0.0024386195989791306,5621
10000,20000,0.004350433000217891,11192
20000,40000,0.010919403399020667,22231
30000,60000,0.019050705999688944,33349
50000,100000,0.04048530419968301,55692
