n,m,time_s,max_frontier
500,1000,0.00012842279902542942,228
1000,2000,0.00023174459929578006,438
2000,4000,0.0004989822002244182,867
5000,10000,0.0018301140000403393,2124
10000,20000,0.00400870300072711,4194
20000,40000,0.01213099619926652,8279
30000,60000,0.019140087799314642,12472
50000,100000,0.03538808159937616,20767
